bool                                             |logical
int                                              |integer
uint                                             |integer
short                                            |integer
ushort                                           |integer
QChar::UnicodeVersion                            |enum     |QtCore
QCheckBox                                        |QObject  |QtGui
QChildEvent                                      |QEvent   |QtCore
QCleanlooksStyle                                 |QObject  |QtGui
QClipboard                                       |QObject  |QtGui
QClipboard::Mode                                 |enum     |QtGui
QClipboardEvent                                  |QEvent   |QtGui
QCloseEvent                                      |QEvent   |QtGui
QColor                                           |object   |QtGui
QColor::Spec                                     |enum     |QtGui
QColorDialog                                     |QObject  |QtGui
QColorDialog::ColorDialogOption                  |enum     |QtGui
QColorDialog::ColorDialogOptions                 |enum     |QtGui
QColorGroup                                      |object   |QtGui
QColormap                                        |object   |QtGui
QColormap::Mode                                  |enum     |QtGui
QColumnView                                      |QObject  |QtGui
QColumnView::ScrollHint                          |enum     |QtGui
QComboBox                                        |QObject  |QtGui
QComboBox::InsertPolicy                          |enum     |QtGui
QComboBox::SizeAdjustPolicy                      |enum     |QtGui
QCommandLinkButton                               |QWidget  |QtGui
QCommonStyle                                     |QObject  |QtGui
QCompleter                                       |QObject  |QtGui
QCompleter::CompletionMode                       |enum     |QtGui
QCompleter::ModelSorting                         |enum     |QtGui
QConicalGradient                                 |object   |QtGui
QContextMenuEvent                                |QEvent   |QtGui
QContextMenuEvent::Reason                        |enum     |QtGui
QCopChannel                                      |QObject  |QtGui
QCoreApplication                                 |QObject  |QtCore
QCoreApplication::Encoding                       |enum     |QtCore
QCryptographicHash                               |object   |QtCore
QCryptographicHash::Algorithm                    |enum     |QtCore
QCursor                                          |object   |QtGui
QDataStream                                      |object   |QtCore
QDataStream::ByteOrder                           |enum     |QtCore
QDataStream::FloatingPointPrecision              |enum     |QtCore
QDataStream::Status                              |enum     |QtCore
QDataWidgetMapper                                |QObject  |QtGui
QDataWidgetMapper::SubmitPolicy                  |enum     |QtGui
QDate                                            |object   |QtCore
QDate::MonthNameType                             |enum     |QtCore
QDateEdit                                        |QObject  |QtGui
QDateTime                                        |object   |QtCore
QDateTimeEdit                                    |QObject  |QtGui
QDateTimeEdit::Section                           |enum     |QtGui
QDateTimeEdit::Sections                          |enum     |QtGui
QDBusAbstractAdaptor                             |QObject  |QtDBus
QDBusAbstractInterface                           |QObject  |QtDBus
QDBusAbstractInterfaceBase                       |         |QtDBus
QDBusArgument                                    |         |QtDBus
QDBusConnection                                  |         |QtDBus
QDBusConnectionInterface                         |QObject  |QtDBus
QDBusContext                                     |         |QtDBus
QDBusError                                       |         |QtDBus
QDBusInterface                                   |QObject  |QtDBus
QDBusMessage                                     |         |QtDBus
QDBusMetaType                                    |         |QtDBus
QDBusPendingCallWatcher                          |QObject  |QtDBus
